year,as_of,rank,ticker,name,sector,avg_dollar_volume_usd_mn
2011,2011-01-01,46,ADBE,Adobe Systems Inc,Information Technology,279.6
2011,2011-01-01,47,ABT,Abbott Laboratories,Health Care,279.0
2011,2011-01-01,48,APA,Apache Corporation,Energy,274.8
2011,2011-01-01,49,PEP,PepsiCo Inc.,Consumer Staples,272.6
2011,2011-01-01,50,OXY,Occidental Petroleum,Energy,269.6
2011,2011-01-01,51,CRM,Salesforce.com,Information Technology,261.7
2011,2011-01-01,52,FSLR,First Solar Inc,Industrials,260.4
2011,2011-01-01,53,VZ,Verizon Communications,Telecommunications Services,252.7
2011,2011-01-01,54,UNH,United Health Group Inc.,Health Care,251.3
2011,2011-01-01,55,AMGN,Amgen Inc,Health Care,249.1
2011,2011-01-01,56,TXN,Texas Instruments,Information Technology,246.0
2011,2011-01-01,57,T,AT&T Inc,Telecommunications Services,239.5
2011,2011-01-01,58,LOW,Lowe's Cos.,Consumer Discretionary,239.0
2011,2011-01-01,59,CVS,CVS Caremark Corp.,Consumer Staples,233.1
2011,2011-01-01,60,NVDA,Nvidia Corporation,Information Technology,225.0
2011,2011-01-01,61,AMAT,Applied Materials Inc,Information Technology,216.2
2011,2011-01-01,62,MMM,3M Co,Industrials,211.5
2011,2011-01-01,63,FDX,FedEx Corporation,Industrials,211.1
2011,2011-01-01,64,DE,Deere & Co.,Industrials,210.3
2011,2011-01-01,65,AIG,American Intl Group Inc,Financials,209.1
2011,2011-01-01,66,NTAP,NetApp,Information Technology,206.2
2011,2011-01-01,67,USB,U.S. Bancorp,Financials,203.5
2011,2011-01-01,68,AMD,Advanced Micro Devices,Information Technology,203.2
2011,2011-01-01,69,TGT,Target Corp.,Consumer Discretionary,201.5
2011,2011-01-01,70,MET,MetLife Inc.,Financials,195.5
2011,2011-01-01,71,DD,Du Pont (E.I.),Materials,194.2
2011,2011-01-01,72,NOV,National Oilwell Varco Inc.,Energy,191.7
2011,2011-01-01,73,COF,Capital One Financial,Financials,191.5
2011,2011-01-01,74,UNP,Union Pacific,Industrials,190.5
2011,2011-01-01,75,PM,Philip Morris International,Consumer Staples,190.4
2011,2011-01-01,76,PNC,PNC Financial Services,Financials,189.4
2011,2011-01-01,77,GLW,Corning Inc.,Industrials,188.2
2011,2011-01-01,78,EOG,EOG Resources,Energy,186.1
2011,2011-01-01,79,AKAM,Akamai Technologies Inc,Information Technology,183.6
2011,2011-01-01,80,ISRG,Intuitive Surgical Inc.,Health Care,182.6
2011,2011-01-01,81,BMY,Bristol-Myers Squibb,Health Care,182.1
2011,2011-01-01,82,UPS,United Parcel Service,Industrials,178.7
2011,2011-01-01,83,BAX,Baxter International Inc.,Health Care,175.6
2011,2011-01-01,84,CNX,CONSOL Energy Inc.,Energy,173.8
2011,2011-01-01,85,LLY,Lilly (Eli) & Co.,Health Care,172.1
2011,2011-01-01,86,MDT,Medtronic Inc.,Health Care,171.9
2011,2011-01-01,87,DVN,Devon Energy Corp.,Energy,170.7
2011,2011-01-01,88,NKE,NIKE Inc.,Consumer Discretionary,170.4
2011,2011-01-01,89,TMO,Thermo Fisher Scientific,Health Care,166.7
2011,2011-01-01,90,CSX,CSX Corp.,Industrials,165.9
2011,2011-01-01,91,COST,Costco Co.,Consumer Staples,164.8
2011,2011-01-01,92,HON,Honeywell Int'l Inc.,Industrials,164.1
2011,2011-01-01,93,SBUX,Starbucks Corp.,Consumer Discretionary,162.9
2011,2011-01-01,94,SCHW,Charles Schwab,Financials,162.5
2011,2011-01-01,95,TRV,The Travelers Companies Inc.,Financials,162.0
2011,2011-01-01,96,BSX,Boston Scientific,Health Care,160.8
2011,2011-01-01,97,BBY,Best Buy Co. Inc.,Consumer Discretionary,157.8
2011,2011-01-01,98,CF,CF Industries Holdings Inc,Materials,157.2
